t,frame,xb,xa,xc,xp,pwm1,pwm2,pwm3,pwm4,p,q,r,accx,accy,accz,x,y,z,roll,pitch,yaw,vx,vy,vz,theta1,theta2,b1s1,a1s1,pwr1,pwr2,pwrsum
65.3949999999487,23420,-0.0231531886644713,0.0401055943262266,-0.0396938097994294,6.0342,1521,1676,1581,1515,1.22415116428432E-08,7.2317407979438E-09,5.44039873281708E-11,0.00118278920949496,0.102942025062456,-9.80610959640404,-0.00514241087778309,-0.0182045894799897,-0.364474030579224,-0.0104973564737386,0.000120607701859915,-0.117555107497326,-2.54989053445947E-09,2.72656326145085E-09,-1.79023399369436E-11,0.0628200061127679,0.0523500106377757,-2.00027821328774E-10,1.54856534329006E-09,0.458047475759948,0.0407515714075482,0.498799047167497
65.4824999999486,23440,-0.0463095455841647,0.0802158435430795,-0.019854166519461,6.0342,1520,1677,1580,1515,1.14617981297088E-08,6.2251871816779E-09,2.60942998586392E-11,0.00118278899683866,0.102942001852791,-9.80610955695689,-0.00514241110226548,-0.0182045892228795,-0.364474030578843,-0.0104973564737386,0.000120607701859915,-0.117555107497326,-2.63128576492836E-09,2.71602536015501E-09,-4.8705066408247E-11,0.0628200061127679,0.0523500106377757,-2.00027821328774E-10,1.54856534329006E-09,0.45804747588825,0.040751571407398,0.498799047295648
65.5599999999485,23460,-0.0463095455841647,0.0802158435430795,-0.019854166519461,6.0342,1520,1677,1580,1515,6.29601375093666E-09,8.43341552720376E-09,3.25132479735627E-11,0.00118272646104225,0.102941993473131,-9.80610960764418,-0.00514241129975126,-0.0182045889955916,-0.364474030578447,-0.0104973564737386,0.000120607701859915,-0.117555107497326,-2.58306005199748E-09,3.13890397429915E-09,-4.54236363786735E-11,0.0628200061127679,0.0523500106377757,-2.00027821328774E-10,1.54856534329006E-09,0.458047476051359,0.0407515714083211,0.49879904745968
65.6299999999484,23480,-0.0463095455841647,0.0802158435430795,-0.019854166519461,5.9563,1520,1677,1580,1516,1.01009728205386E-08,5.67165011835594E-09,4.07003802932347E-11,0.00118278039343492,0.102941979602622,-9.80610959410718,-0.00514241148058749,-0.0182045887898538,-0.364474030579067,-0.0104973564737386,0.000120607701859915,-0.117555107497326,-2.69394164592482E-09,2.78091165300648E-09,-4.92716080860185E-11,0.0628200061127679,0.0523500106377757,-2.00027821328774E-10,1.54856534329006E-09,0.458047476065575,0.0407515714072521,0.498799047472827
65.7124999999484,23500,-0.0463095455841647,0.0802158435430795,-0.019854166519461,5.9563,1520,1677,1580,1516,6.35760271983763E-09,7.31140807539873E-09,4.57396608954509E-11,0.00118273460132648,0.102941972106698,-9.80610959277435,-0.00514241169128497,-0.0182045885479102,-0.364474030576952,-0.010497356465405,0.000120607701859915,-0.117555107497326,-2.65744093540186E-09,3.07649068809511E-09,-2.57241687004013E-10,0.0628200061127679,0.0523500106377757,-2.00027821328774E-10,1.54856534329006E-09,0.458047477297127,0.040751571408057,0.498799048705184
65.7899999999483,23520,-0.0463095455841647,0.0802158435430795,-0.019854166519461,5.9563,1520,1677,1580,1516,1.12663790280701E-08,9.45143478468771E-09,4.81138947737795E-11,0.00118276566010941,0.102942055419844,-9.80610959414886,-0.0051424118911162,-0.0182045883226131,-0.364474030578626,-0.010497356465405,0.000120607701859915,-0.117555107497326,-2.42372040610553E-09,2.87927092243892E-09,6.72770554873047E-11,0.0628200061127679,0.0523500106377757,-2.00027821328774E-10,1.54856534329006E-09,0.458047475162003,0.0407515714082483,0.498799046570251
65.8874999999482,23540,-0.034766371210426,0.0602174678190689,0.476539039930277,5.9563,1512,1668,1572,1516,6.94528737685646E-09,9.41403906036939E-09,8.43131393768047E-11,0.00118272647507653,0.102942014227263,-9.80610952843312,-0.00514241214039579,-0.018204588036007,-0.364474030575917,-0.010497356465405,0.000120607701859915,-0.117555107497326,-2.50225324690002E-09,3.14575501629368E-09,-1.91762290450364E-10,0.0628200061127679,0.0523500106377757,-2.00027821328774E-10,1.54856534329006E-09,0.458047476152027,0.0407515714085252,0.498799047560552
65.9874999999481,23560,-0.0232067367507385,0.0803640413094353,1.09263439757153,5.2552,1501,1658,1562,1525,-0.000991797438189628,-0.0015441030899691,0.0755366299100056,-0.236054464502019,0.256845938769388,-9.83219100983647,-0.00532622873233816,-0.0188994883348887,-0.363832470134825,-0.0111685694903046,-0.000219765187391852,-0.110830268928258,-0.00488823998331883,-0.0201789133749124,0.00508849472750199,0.0187194032874013,0.0917032506377757,0.000607379435089421,-0.00175293133120203,0.325092572195614,0.0638720068414,0.388964579037014
66.067499999948,23580,-0.0348399362373288,0.100533355538994,1.78880304522323,5.1773,1489,1647,1550,1526,-0.0052158285188468,-0.00697481886143484,0.0761072360425682,-0.0469528753112216,-0.291148382060979,-9.81432936748933,-0.00585099015064647,-0.0201774115765081,-0.363537833334092,-0.0122046158951139,-0.000518891568223158,-0.104941251071929,-0.00819849785331786,-0.0146002015245604,0.00247664340719579,0.0298258590618472,0.0917032506377757,0.000202872081234918,-0.00175408770996002,0.368582636941623,0.0635531657991213,0.432135802740745
66.162499999948,23600,-0.0232575542595163,0.120687014572461,2.52517397334908,5.0215,1476,1635,1538,1528,-0.00340155013117636,-0.00218303831558313,0.0734925938883891,0.0316396574366685,0.41050393742193,-9.78687705289724,-0.00674569542033134,-0.021502222386435,-0.363399963520631,-0.01309709850493,-0.000803325552844611,-0.0978438520014557,-0.00862178075588474,-0.0147903198634235,0.000726899875413981,0.0430222537943329,0.0876251856377756,0.000405826656593822,-0.00210594587120671,0.389696040683504,0.0604102324175024,0.450106273101006
66.2599999999479,23620,-0.0232671664529778,0.120689582107319,3.2417994802702,4.8657,1464,1623,1526,1530,-0.0139496426967426,-0.00155351216336875,0.0622493389509329,-0.0283393653893836,0.466040901242224,-9.78516790204617,-0.00754512746270359,-0.0227239271686382,-0.363400252193543,-0.0139119853280183,-0.0010572232171676,-0.091191728611227,-0.00723984840431482,-0.0104093963390131,-0.000846186835685182,0.0562217414742568,0.0849064756377757,0.000608781949819932,-0.00245715112875116,0.428839244324981,0.0584497086746092,0.48728895299959
66.3774999999478,23640,-0.0116735288757797,0.140743043646055,3.97817096321746,4.7099,1451,1611,1514,1532,-0.00995348578423169,-0.000965627733184321,0.0474102590345175,-0.0138431489353104,0.480230784211395,-9.78603176775171,-0.00830448627134711,-0.0239405000153714,-0.363590531361495,-0.0147142230401566,-0.00137286877536859,-0.0846732371464711,-0.00499239013413218,-0.00746875279564225,-0.00209878180619227,0.0690721792038583,0.0821877656377757,0.000406035884454647,-0.00210525463598658,0.479185782460415,0.0565604776246611,0.535746260085076
