t,frame,xb,xa,xc,xp,pwm1,pwm2,pwm3,pwm4,p,q,r,accx,accy,accz,x,y,z,roll,pitch,yaw,vx,vy,vz,theta1,theta2,b1s1,a1s1,pwr1,pwr2,pwrsum
1.1000000000000052,1,-0.05311165349175976,-0.997573142596401,28.512130823635015,46.152699999999996,1000,1000,1000,1000,0.0007389471648797098,-0.00017097353440183362,0.00017770757047471658,-0.001105647965172942,-0.6866507189739429,-9.782746831073705,0.0012766638758142173,0.00033015449110413586,-0.6095996814304447,0.06999640357951058,-0.0007836768559108992,3.0337612440894715e-05,0.0032694533623557395,0.0009448276416796352,4.962866015562015e-06,0.10945152702133829,0.09551808392514809,-0.0003826834483460443,-0.0002638233447355395,0.7235724824750217,0.06686816462622656,0.7904406471012483,
1.1050000000000046,2,-0.05311165349175976,-0.997573142596401,28.512130823635015,46.152699999999996,1000,1000,1000,1000,0.0005092473538818799,0.00015897526040047313,-0.005958319352173025,-0.00012579708459822207,0.05488883057542626,-2.1139386632007824,0.0012930870617268051,0.00033557778901437596,-0.6095810110522106,0.06999920685848499,-0.0007831232241833615,2.4227106058183947e-05,0.0032931299075159115,0.0015392115924666811,0.016952844777586507,0.06282000611276789,0.05235001063777568,-2.000278213287743e-10,1.5485653432900649e-09,0.3335696527856759,0.027567868934335563,0.36113752172001146,
1.1075000000000044,3,-0.05311165349175976,-0.997573142596401,28.512130823635015,46.152699999999996,1000,1000,1000,1000,0.000498563303257315,0.00034202921586943186,-0.010877920525627714,-0.00010226918327450353,-0.1062746560521477,-2.8579830955725862,0.0013013254546757579,0.00033991917438727605,-0.6095154892914425,0.07000050010834666,-0.0007810159013294219,2.9181464184119275e-06,0.003297826137371614,0.0018939207660005942,0.035185527612817444,0.06282000611276789,0.05235001063777568,-2.000278213287743e-10,1.5485653432900649e-09,0.3800989790974615,0.03547465580252278,0.4155736348999843,
1.110000000000004,4,-0.05311165349175976,-0.997573142596401,28.512130823635015,46.152699999999996,1000,1000,1000,1000,0.0003951416175182045,0.0005839047877288437,-0.01438504575132566,-4.4930146095830195e-06,-0.1857417790691226,-3.1980564697220855,0.0013095773718225436,0.00034487947111984466,-0.6094062787577089,0.07000165930653375,-0.0007776471631163077,-2.868433073360784e-05,0.0033038595084039692,0.002053873794180601,0.05205551931941764,0.06282000611276789,0.05235001063777568,-2.000278213287743e-10,1.5485653432900649e-09,0.4015039935825617,0.038415654245506456,0.4399196478280682,
1.1125000000000038,5,-0.05311165349175976,-0.997573142596401,28.512130823635015,46.152699999999996,1000,1000,1000,1000,0.00019965897443646296,0.0008474824563887005,-0.017156507895898072,0.00010796956282901112,-0.22580929756318346,-3.2213028766415137,0.0013178453892210562,0.00035008964721633905,-0.6092555927059983,0.07000244964189983,-0.0007730985755975339,-6.798764651406384e-05,0.0033106211401966274,0.0021000960687911144,0.06848416922990846,0.06282000611276789,0.05235001063777568,-2.000278213287743e-10,1.5485653432900649e-09,0.4099692715305814,0.03966529985358645,0.44963457138416785,
1.1150000000000035,6,-0.05311165349175976,-0.997573142596401,28.512130823635015,46.152699999999996,1000,1000,1000,1000,-7.638232958628573e-05,0.0011017649517189453,-0.019518075263750996,0.00019902741051396663,-0.246224108281632,-3.060344950402266,0.0013261306819769357,0.0003553037845824876,-0.6090636797727733,0.07000265215696784,-0.0007674534175854621,-0.00011360497908355413,0.003317620625896892,0.0020595037482779065,0.08510559773390204,0.06282000611276789,0.05235001063777568,-2.000278213287743e-10,1.5485653432900649e-09,0.41172312174514586,0.0402437692490096,0.45196689099415543,
1.1175000000000033,7,-0.05311165349175976,-0.997573142596401,28.512130823635015,46.152699999999996,1000,1000,1000,1000,-0.00041364158618929856,0.001325525751373048,-0.021633475392213285,0.00022086723625265505,-0.2566647841368892,-2.8517603544079613,0.0013344334176189183,0.0003603244383702163,-0.6088296333640624,0.07000208807299743,-0.0007608193115952487,-0.0001647411087209864,0.0033245381367370233,0.0019477575484511086,0.10220870093649699,0.06282000611276789,0.05235001063777568,-2.000278213287743e-10,1.5485653432900649e-09,0.41019230069986806,0.04052600358377675,0.4507183042836448,
1.120000000000003,8,-0.05311165349175976,-0.997573142596401,28.512130823635015,46.152699999999996,1000,1000,1000,1000,-0.000791507043213976,0.001507135648529578,-0.02359816885976671,0.000127403155120406,-0.2620258020583669,-2.7039217427769406,0.001342753118283322,0.0003649973024276621,-0.6085522270789282,0.07000062991484582,-0.0007533226620286115,-0.00022091472446327182,0.003331168376283098,0.0017847318948265348,0.11977102410579062,0.06282000611276789,0.05235001063777568,-2.000278213287743e-10,1.5485653432900649e-09,0.40799694776116724,0.040668402221919635,0.4486653499830869,
1.1225000000000027,9,-0.05311165349175976,-0.997573142596401,28.512130823635015,46.152699999999996,1000,1000,1000,1000,-0.0011922432999787354,0.0016413485809028368,-0.025484238336147436,-8.053894277257074e-05,-0.26484778100462786,-2.679416149877385,0.0013510889114415046,0.0003692257861538196,-0.6082305814550288,0.0699981986774486,-0.0007450959000907359,-0.00028185011036115104,0.0033374056835619526,0.0015963994786705588,0.1375545002945953,0.06282000611276789,0.05235001063777568,-2.000278213287743e-10,1.5485653432900649e-09,0.40717406783249466,0.04074224893665875,0.4479163167691534,
1.1250000000000024,10,-0.05311165349175976,-0.997573142596401,28.512130823635015,46.152699999999996,1000,1000,1000,1000,-0.0016010455319976126,0.0017257963095381854,-0.02735245927497323,-0.0003577644005589749,-0.2664524003519901,-2.792404026979873,0.0013594398124396536,0.00037298171617071587,-0.6078645537492171,0.06999475584248264,-0.0007362688361191776,-0.00034743769848150655,0.0033432670470733986,0.0014107123285912037,0.15522578528002487,0.06282000611276789,0.05235001063777568,-2.000278213287743e-10,1.5485653432900649e-09,0.4086623797287955,0.04078189170250993,0.44944427143130544,
1.164999999999998,20,-0.05311165349175976,-0.997573142596401,28.512130823635015,46.152699999999996,1000,1000,1000,1000,-0.0058587657096496265,0.001289630569890601,-0.06071290641781892,-0.0022852600444728715,-0.2743553566164305,-4.65990798239674,0.0014953058851832127,0.00042752957401144824,-0.596862622243089,0.06985160626994269,-0.0005521732381692312,-0.002089330912834005,0.003451936947314415,0.0019757836133609055,0.38495667560847374,0.06282000611276789,0.05235001063777568,-2.000278213287743e-10,1.5485653432900649e-09,0.43388559678000777,0.040897855598291934,0.4747834523782997,
1.2124999999999928,40,-0.05311165349175976,-0.997573142596401,28.512130823635015,46.152699999999996,1000,1000,1000,1000,-0.007219970723001282,-0.0016057085748300958,-0.10364858899521183,-0.0038787235925688774,-0.281565789795517,-5.285386983933252,0.0016713713480905347,0.000613275996485864,-0.5715164354749782,0.06950815109728914,-0.0002779127576003988,-0.006191277145890181,0.0035879400794115598,0.005741430297981171,0.6239003017988907,0.06282000611276789,0.05235001063777568,-2.000278213287743e-10,1.5485653432900649e-09,0.4384809796402653,0.041008552769732504,0.4794895324099978,
